model,cond,RMSE,int,slp,sub,a,b,deriv_a,deriv_b
pwr,FM,29.29543427862688,-0.190748769838952,-0.0692214536110803,120,-0.190748769838952,-0.0692214536110803,0.01320390712277765,-1.0692214536110802
pwr,SM,39.02446398691918,-0.16314252902834486,-0.061320362312359586,120,-0.16314252902834486,-0.061320362312359586,0.010003958988572748,-1.0613203623123595
pwr,S,69.67755208055269,-0.5454367588281658,-0.0915056655015581,121,-0.5454367588281658,-0.0915056655015581,0.049910553605584156,-1.091505665501558
pwr,FM,29.164788622591264,-0.3706920489141624,-0.10026323728279211,121,-0.3706920489141624,-0.10026323728279211,0.03716678485912504,-1.100263237282792
pwr,SM,31.58734463801421,-0.09809646397354164,-0.1302401032608488,121,-0.09809646397354164,-0.1302401032608488,0.012776093597438198,-1.130240103260849
pwr,S,76.73763523951916,-0.5560092825404319,-0.0508041374484138,122,-0.5560092825404319,-0.0508041374484138,0.028247572012778045,-1.0508041374484138
pwr,FM,45.382429431887715,-0.2683138942547656,-0.08495646329235948,122,-0.2683138942547656,-0.08495646329235948,0.022794999508085015,-1.0849564632923594
pwr,SM,46.25789709013545,-0.18805236512270385,-0.09174094207509235,122,-0.18805236512270385,-0.09174094207509235,0.01725210113580609,-1.0917409420750923
pwr,S,80.84379142012361,-0.6550412198953414,-0.039740686328626984,123,-0.6550412198953414,-0.039740686328626984,0.026031787652181934,-1.039740686328627
pwr,FM,44.424463577265804,-0.5701222875654401,-0.02484832323963502,123,-0.5701222875654401,-0.02484832323963502,0.014166582887546205,-1.024848323239635
pwr,SM,43.07760817126073,-0.3460885584219127,-0.058794107174349804,123,-0.3460885584219127,-0.058794107174349804,0.02034796779567416,-1.0587941071743499
pwr,S,74.08929610214433,-0.49362028666058505,-0.08717967432345007,124,-0.49362028666058505,-0.08717967432345007,0.04303365583051787,-1.08717967432345
pwr,FM,45.39460907754212,-0.06858158921219598,-0.1721841509629987,124,-0.06858158921219598,-0.1721841509629987,0.011808662710195116,-1.1721841509629987
pwr,SM,64.24855258492835,-0.06988331530177302,-0.13968923471967565,124,-0.06988331530177302,-0.13968923471967565,0.009761946834178473,-1.1396892347196756
pwr,S,99.14410702820145,-0.4176612169004166,-0.12698861719918925,125,-0.4176612169004166,-0.12698861719918925,0.05303822039191455,-1.1269886171991892
pwr,FM,57.185409772797556,-0.0087288888040103485,-0.17542986348150244,125,-0.0087288888040103485,-0.17542986348150244,0.0015313077712327506,-1.1754298634815024
pwr,SM,65.8360347348045,0.012938231552669904,-0.17146381456613807,125,0.012938231552669904,-0.17146381456613807,-0.0022184385357607492,-1.171463814566138
pwr,S,99.29572764652094,-0.4372370958304666,-0.10029652725456882,126,-0.4372370958304666,-0.10029652725456882,0.043853362298668916,-1.1002965272545688
pwr,FM,75.98991684719896,-0.20380162035912164,-0.14796468996237797,126,-0.20380162035912164,-0.14796468996237797,0.03015544357026769,-1.1479646899623779
pwr,SM,51.058364776459996,0.09911441286233852,-0.16170416765080578,126,0.09911441286233852,-0.16170416765080578,-0.01602721363410277,-1.1617041676508058
pwr,S,84.48916763224729,-0.503140680971252,-0.136572045816688,127,-0.503140680971252,-0.136572045816688,0.06871495213384543,-1.136572045816688
pwr,FM,29.844496502558332,-0.2715090200083182,-0.17573956451517186,127,-0.2715090200083182,-0.17573956451517186,0.04771487693820293,-1.1757395645151718
