sub,sess,run,trial_num,cond,task,RT,acc,mult_cond
107,Pre,5,16,3,sound,1.6595,1,multi-first
107,Pre,5,17,2,sound,0.91667,1,single
107,Pre,5,18,1,shape,0.9655,1,single
107,Pre,6,1,1,shape,0.99336,1,single
107,Pre,6,2,2,sound,1.1678,1,single
107,Pre,6,3,1,shape,1.4057,1,single
107,Pre,6,4,1,shape,1.1272,1,single
107,Pre,6,5,3,shape,1.8671,1,multi-first
107,Pre,6,5,3,sound,1.9681,1,multi-second
107,Pre,6,6,3,shape,1.6038,1,multi-second
107,Pre,6,6,3,sound,1.5458,1,multi-first
107,Pre,6,7,3,shape,0.8991,1,multi-first
107,Pre,6,7,3,sound,0.9091,1,multi-second
107,Pre,6,8,2,sound,1.2702,1,single
107,Pre,6,9,1,shape,1.6205,1,single
107,Pre,6,10,2,sound,0.9784,1,single
107,Pre,6,11,2,sound,1.3265,1,single
107,Pre,6,12,1,shape,0.92732,1,single
107,Pre,6,13,2,sound,1.0533,1,single
107,Pre,6,14,3,shape,1.4505,1,multi-first
107,Pre,6,14,3,sound,1.4785,1,multi-second
107,Pre,6,15,3,shape,1.7213,1,multi-first
107,Pre,6,15,3,sound,1.8893,1,multi-second
107,Pre,6,17,3,shape,2.3183,1,multi-second
107,Pre,6,17,3,sound,2.3063,1,multi-first
107,Pre,6,18,2,sound,1.0424,1,single
109,Pre,1,1,2,sound,1.3929,1,single
109,Pre,1,2,2,sound,0.89574,1,single
109,Pre,1,3,1,shape,1.1458,1,single
109,Pre,1,4,1,shape,0.93295,1,single
109,Pre,1,5,2,sound,0.85131,1,single
109,Pre,1,6,1,shape,1.1918,1,single
109,Pre,1,7,2,sound,1.1512,1,single
109,Pre,1,8,3,shape,1.2689,1,multi-second
109,Pre,1,8,3,sound,0.93894,1,multi-first
109,Pre,1,9,3,shape,1.5167,1,multi-second
109,Pre,1,9,3,sound,0.78972,1,multi-first
109,Pre,1,10,1,shape,1.1882,1,single
109,Pre,1,11,3,shape,1.7607,1,multi-second
109,Pre,1,11,3,sound,1.3888,1,multi-first
109,Pre,1,12,2,sound,1.0576,1,single
109,Pre,1,13,1,shape,1.0441,1,single
109,Pre,1,14,3,shape,1.0587,1,multi-second
109,Pre,1,14,3,sound,0.62465,1,multi-first
109,Pre,1,15,2,sound,1.1042,1,single
109,Pre,1,16,3,shape,1.272,1,multi-second
109,Pre,1,16,3,sound,0.83498000000000006,1,multi-first
109,Pre,1,17,1,shape,0.98159,1,single
109,Pre,1,18,3,shape,1.5387,1,multi-second
109,Pre,1,18,3,sound,0.99177,1,multi-first
109,Pre,2,1,2,sound,1.0367,1,single
109,Pre,2,2,3,shape,1.5878,1,multi-second
109,Pre,2,2,3,sound,1.1928,1,multi-first
109,Pre,2,3,3,shape,1.2917,1,multi-second
109,Pre,2,3,3,sound,0.8577,1,multi-first
109,Pre,2,4,1,shape,1.1153,1,single
109,Pre,2,5,1,shape,0.89928,1,single
109,Pre,2,6,2,sound,1.1463,1,single
109,Pre,2,7,1,shape,1.0139,1,single
109,Pre,2,8,1,shape,0.67042,1,single
109,Pre,2,9,3,shape,1.8323,1,multi-second
109,Pre,2,9,3,sound,1.5033,1,multi-first
109,Pre,2,10,2,sound,2.0823,1,single
109,Pre,2,11,2,sound,0.8244,1,single
