model,cond,RMSE,int,slp,sub,a,b,deriv_a,deriv_b
pwr,s16,59.45542035619468,0.11947798277977291,-0.1263452263560361,240,0.11947798277977291,-0.1263452263560361,-0.01509547277887299,-1.126345226356036
pwr,s8,44.76018450238125,-0.185708549058498,-0.09295529568547373,241,-0.185708549058498,-0.09295529568547373,0.017262593089052987,-1.0929552956854738
pwr,s12,49.77190635321598,-0.03353257897457089,-0.1194740895382467,241,-0.03353257897457089,-0.1194740895382467,0.004006274342856211,-1.1194740895382467
pwr,s16,51.20046311240614,0.05773022136461571,-0.11754078049037471,241,0.05773022136461571,-0.11754078049037471,-0.006785655277079036,-1.1175407804903748
pwr,s8,35.04664961678208,-0.3483384202188539,-0.09432119483397029,242,-0.3483384202188539,-0.09432119483397029,0.03285569600161994,-1.0943211948339704
pwr,s12,54.06040106899275,-0.22088089325475732,-0.1086090158049401,242,-0.22088089325475732,-0.1086090158049401,0.023989656426515227,-1.1086090158049402
pwr,s16,56.14127543589516,-0.11493823515156097,-0.1250457476508353,242,-0.11493823515156097,-0.1250457476508353,0.01437253754819446,-1.1250457476508353
pwr,s8,40.89929900906286,-0.30621604221352544,-0.1330755442601294,243,-0.30621604221352544,-0.1330755442601294,0.04074986647874766,-1.1330755442601295
pwr,s12,42.77750171177366,-0.2260813680474447,-0.15246839210927274,243,-0.2260813680474447,-0.15246839210927274,0.034470262672058605,-1.1524683921092727
pwr,s16,48.02812133438705,-0.15130728292355844,-0.1717094758624662,243,-0.15130728292355844,-0.1717094758624662,0.025980894244978105,-1.1717094758624662
pwr,s8,33.483885685125486,-0.4454104542107138,-0.10494090220132361,244,-0.4454104542107138,-0.10494090220132361,0.046741774914773646,-1.1049409022013237
pwr,s12,45.13201272490751,-0.3609758759059003,-0.1102928476009753,244,-0.3609758759059003,-0.1102928476009753,0.03981305726891803,-1.1102928476009752
pwr,s16,39.105580278946896,-0.25934354370226803,-0.14884007124395837,244,-0.25934354370226803,-0.14884007124395837,0.0386007115213062,-1.1488400712439584
pwr,s8,31.03052024887188,-0.3723915009266423,-0.1566013043982042,245,-0.3723915009266423,-0.1566013043982042,0.05831699479191725,-1.1566013043982042
pwr,s12,38.97347392387616,-0.2691747362392386,-0.1811540949227299,245,-0.2691747362392386,-0.1811540949227299,0.04876210571948381,-1.18115409492273
pwr,s16,48.11879214787384,-0.2131208859858775,-0.18351069844656967,245,-0.2131208859858775,-0.18351069844656967,0.039109962640820124,-1.1835106984465698
pwr,s8,34.23177080099759,-0.28318860845677224,-0.13617161889051071,247,-0.28318860845677224,-0.13617161889051071,0.03856225126490965,-1.1361716188905107
pwr,s12,41.858616086573626,-0.16024333740016675,-0.14279187930017037,247,-0.16024333740016675,-0.14279187930017037,0.022881447292701088,-1.1427918793001703
