sub,block,rest_block,trial_num,set_size,targ_or,resp,RT
201,1,22,8,8,1,1,0.92007
201,1,22,9,16,1,0,0
201,1,22,10,16,2,2,1.4309
201,1,22,11,12,2,2,0.7993
201,1,22,12,12,1,1,1.7204
201,1,22,13,8,2,2,1.1999
201,1,22,14,8,2,2,0.71951
201,1,22,15,16,2,2,1.1679
201,1,22,16,12,1,1,1.0321
201,1,22,17,8,2,2,0.91967
201,1,22,18,12,1,1,0.77634
201,1,23,1,8,2,2,0.69155
201,1,23,2,8,2,2,1.0161
201,1,23,3,16,1,1,1.2164
201,1,23,4,16,2,2,1.1827
201,1,23,5,8,2,2,1.104
201,1,23,6,8,2,2,0.83177
201,1,23,7,8,1,1,1.0315
201,1,23,8,16,1,1,1.4713
201,1,23,9,16,1,1,0.68721
201,1,23,10,12,1,1,0.87181
201,1,23,11,12,1,1,1.8325
201,1,23,12,8,2,2,1.1509
201,1,23,13,12,1,1,1.432
201,1,23,14,12,2,2,0.60745
201,1,23,15,12,1,1,1.2719
201,1,23,16,16,1,1,1.2074
201,1,23,17,12,2,2,1.1437
201,1,23,18,16,2,2,0.99995
201,1,24,1,16,2,2,1.3153
201,1,24,2,16,1,1,0.71979
201,1,24,3,16,1,1,1.1108
201,1,24,4,12,1,1,0.83963
201,1,24,5,8,2,2,0.83183
201,1,24,6,12,1,1,1.056
201,1,24,7,8,2,2,0.6875
201,1,24,8,12,1,1,0.99306
201,1,24,9,8,1,2,1.1835
201,1,24,10,16,1,1,1.2639
201,1,24,11,12,1,1,0.99902
201,1,24,12,8,1,1,0.84051
201,1,24,13,12,2,1,1.0394
201,1,24,14,12,1,0,0
201,1,24,15,8,2,2,1.7914
201,1,24,16,16,2,2,0.92767
201,1,24,17,8,1,1,0.77525
201,1,24,18,16,1,0,0
201,1,25,1,16,1,1,1.4822
201,1,25,2,8,1,1,1.128
201,1,25,3,12,2,2,1.2482
201,1,25,4,8,2,2,1.6955
201,1,25,5,8,1,1,1.7202
201,1,25,6,8,1,1,0.95911
201,1,25,7,12,2,2,0.77562
201,1,25,8,8,1,1,1.2247
201,1,25,9,12,1,0,0
201,1,25,10,12,1,1,0.8794
201,1,25,11,16,1,1,1.2801
201,1,25,12,16,2,2,1.0237
201,1,25,13,8,1,1,1.7039
201,1,25,14,12,2,2,1.6159
201,1,25,15,16,2,2,0.98329
201,1,25,16,16,2,1,1.5276
201,1,25,17,16,1,1,1.1281
201,1,25,18,12,2,2,0.9028
201,1,26,1,8,1,1,1.1159
201,1,26,2,8,1,1,1.2399
201,1,26,3,12,1,1,1.0234
201,1,26,4,8,2,2,0.65642
201,1,26,5,16,1,1,1.6869
201,1,26,6,16,2,2,0.6476
201,1,26,7,8,1,1,1.0166
201,1,26,8,12,2,2,0.85487
201,1,26,9,12,2,2,1.1273
201,1,26,10,12,1,1,0.96811
201,1,26,11,16,2,2,0.99996
201,1,26,12,16,1,1,1.9915
201,1,26,13,16,2,2,1.5348
201,1,26,14,12,1,1,1.6392
201,1,26,15,12,2,2,0.79231
201,1,26,16,8,2,1,1.0566
201,1,26,17,16,1,1,1.5108
201,1,26,18,8,2,2,1.0323
201,1,27,1,12,2,2,0.9711
201,1,27,2,8,1,1,1.2165
201,1,27,3,12,1,1,0.99998
201,1,27,4,12,1,1,0.94444
201,1,27,5,16,2,2,1.015
201,1,27,6,12,1,1,0.74362
201,1,27,7,8,1,1,1.2639
201,1,27,8,8,1,1,0.6963
201,1,27,9,16,2,2,0.66377
201,1,27,10,16,1,1,1.9032
201,1,27,11,8,2,2,0.84818
201,1,27,12,12,2,2,1.4074
201,1,27,13,16,2,2,0.71162
201,1,27,14,8,2,2,1.216
201,1,27,15,16,1,2,1.8878
201,1,27,16,16,2,2,1.2556
201,1,27,17,12,1,1,1.0953
201,1,27,18,8,1,2,1.1844
201,1,28,1,12,2,1,1.0511
201,1,28,2,12,2,2,1.0481
201,1,28,3,8,2,2,0.66371
201,1,28,4,16,1,1,1.2471
201,1,28,5,16,1,0,0
201,1,28,6,16,1,1,1.0144
201,1,28,7,8,2,2,0.9204
201,1,28,8,16,2,1,1.4079
201,1,28,9,16,1,1,1.3907
201,1,28,10,8,2,2,1.0652
201,1,28,11,12,1,1,1.5597
201,1,28,12,12,2,2,0.86336
201,1,28,13,8,2,2,1.1433
201,1,28,14,8,1,1,1.2323
201,1,28,15,12,1,1,0.97586
201,1,28,16,12,1,1,0.92823
201,1,28,17,16,1,1,1.2072
201,1,28,18,8,2,2,1.9453
201,1,29,1,8,2,2,1.1389
201,1,29,2,12,2,2,0.97627
201,1,29,3,8,2,2,0.69596
201,1,29,4,16,2,2,0.88829
201,1,29,5,12,2,2,0.90337
201,1,29,6,16,2,2,0.95938
201,1,29,7,16,2,2,0.96726
201,1,29,8,8,1,1,0.88868
201,1,29,9,12,2,2,0.93544
201,1,29,10,16,2,2,1.1997
201,1,29,11,12,1,1,0.86337
201,1,29,12,8,1,1,1.0557
201,1,29,13,12,1,1,0.73643
201,1,29,14,16,2,2,1.6639
201,1,29,15,12,1,1,1.0477
201,1,29,16,16,1,1,1.1436
201,1,29,17,8,1,1,1.0321
201,1,29,18,8,2,2,1.1601
201,1,30,1,16,1,1,0.94676
201,1,30,2,16,2,2,1.2958
201,1,30,3,12,2,2,1.2476
201,1,30,4,8,2,2,0.89585
201,1,30,5,12,2,2,0.85577
201,1,30,6,12,1,1,1.2315
201,1,30,7,8,1,1,0.73649
201,1,30,8,16,1,1,1.2398
201,1,30,9,8,1,1,0.81603
201,1,30,10,16,2,2,0.85592
201,1,30,11,16,2,2,1.1037
201,1,30,12,12,1,1,1.984
201,1,30,13,12,2,2,1.0085
201,1,30,14,16,2,2,1.3108
201,1,30,15,12,1,1,1.3833
201,1,30,16,8,2,2,1.5047
201,1,30,17,8,2,2,0.9035
201,1,30,18,8,2,2,0.76002
201,1,31,1,16,1,1,1.6273
201,1,31,2,8,1,1,1.0402
201,1,31,3,8,1,1,1.1845
201,1,31,4,8,1,1,0.87258
201,1,31,5,12,2,2,1.4239
201,1,31,6,16,2,2,1.5508
201,1,31,7,12,2,2,1.0087
201,1,31,8,8,2,2,0.8083
201,1,31,9,16,2,2,0.77536
201,1,31,10,12,2,2,0.88776
201,1,31,11,16,2,2,0.82361
201,1,31,12,12,1,1,0.92758
201,1,31,13,12,1,1,1.1116
201,1,31,14,8,1,1,1.4155
201,1,31,15,12,2,2,1.3116
201,1,31,16,8,1,1,1.5929
201,1,31,17,16,1,2,1.8706
201,1,31,18,16,1,1,1.0957
201,1,32,1,8,2,2,1.3879
201,1,32,2,12,2,2,0.79929
201,1,32,3,8,1,1,0.72008
201,1,32,4,12,1,1,1.1846
201,1,32,5,8,2,2,0.75969
201,1,32,6,16,2,2,1.5351
201,1,32,7,12,1,1,1.1686
201,1,32,8,12,2,2,1.343
201,1,32,9,8,2,0,0
201,1,32,10,12,1,2,0.0054537
201,1,32,11,8,1,1,1.7566
201,1,32,12,16,2,2,1.1831
201,1,32,13,16,2,2,1.8555
201,1,32,14,16,1,1,1.0074
201,1,32,15,8,2,2,1.7436
201,1,32,16,16,1,1,1.416
201,1,32,17,16,1,2,1.2158
201,1,32,18,12,1,1,1.288
201,2,1,1,12,1,1,1.1624
201,2,1,2,12,1,1,0.95764
201,2,1,3,16,2,2,1.0767
201,2,1,4,8,1,1,0.89599
201,2,1,5,8,1,1,1.0089
201,2,1,6,16,2,2,1.1187
201,2,1,7,8,1,1,0.87211
201,2,1,8,12,2,2,0.79223
201,2,1,9,8,1,1,1.0813
201,2,1,10,12,1,1,1.5831
201,2,1,11,16,1,2,1.8319
201,2,1,12,8,1,1,1.4965
201,2,1,13,12,1,1,1.0636
201,2,1,14,16,2,2,0.91098
201,2,1,15,16,1,1,0.79252
201,2,1,16,16,1,1,1.2074
201,2,1,17,8,2,2,0.70401
201,2,1,18,12,1,1,0.87199
201,2,2,1,8,1,1,1.4072
201,2,2,2,12,1,1,0.86474
201,2,2,3,12,1,1,1.1826
201,2,2,4,8,1,1,1.3205
201,2,2,5,12,2,2,0.82406
201,2,2,6,16,2,2,1.5036
201,2,2,7,16,1,1,0.96011
201,2,2,8,12,2,2,0.99117
201,2,2,9,12,2,2,0.89609
201,2,2,10,16,1,1,0.9036
201,2,2,11,12,2,2,1.376
201,2,2,12,8,2,2,0.72013
201,2,2,13,8,1,1,0.92081
201,2,2,14,16,1,1,1.319
201,2,2,15,16,1,1,1.1996
201,2,2,16,16,1,1,0.75969
201,2,2,17,8,1,1,0.76832
201,2,2,18,8,1,1,0.8315
201,2,3,1,8,2,2,0.98803
201,2,3,2,8,2,2,0.57579
201,2,3,3,16,2,2,0.6647
201,2,3,4,8,2,2,0.94463
201,2,3,5,16,2,2,1.0883
201,2,3,6,12,1,1,1.3597
201,2,3,7,16,1,1,0.78194
201,2,3,8,16,1,1,0.90356
201,2,3,9,8,2,2,1.192
201,2,3,10,8,1,1,0.69657
201,2,3,11,12,1,1,0.8558
201,2,3,12,12,1,1,1.1523
201,2,3,13,16,1,1,1.5988
201,2,3,14,8,1,1,0.60276
201,2,3,15,16,1,1,1.0281
201,2,3,16,12,1,1,1.0084
201,2,3,17,12,2,2,0.71873
201,2,3,18,12,1,1,1.546
201,2,4,1,12,1,1,1.1874
201,2,4,2,8,2,2,0.94901
201,2,4,3,16,2,2,0.83152
201,2,4,4,16,2,2,0.8836
201,2,4,5,16,2,2,0.88955
201,2,4,6,12,2,2,0.66196
201,2,4,7,8,2,2,0.87232
201,2,4,8,16,2,2,1.1931
201,2,4,9,8,2,2,0.73958
201,2,4,10,12,2,2,1.6892
201,2,4,11,12,1,1,1.1491
201,2,4,12,12,1,1,0.90206
201,2,4,13,8,2,2,0.64695
201,2,4,14,16,1,1,0.95847
201,2,4,15,12,2,2,1.464
201,2,4,16,16,2,2,1.1521
201,2,4,17,8,2,2,0.89578
201,2,4,18,8,1,1,0.65632
201,2,5,1,12,1,1,0.9793
201,2,5,2,8,2,2,0.98942
201,2,5,3,12,2,2,0.8552
201,2,5,4,16,2,2,0.74486
201,2,5,5,8,1,1,0.80277
201,2,5,6,16,2,2,0.7184
201,2,5,7,16,1,1,1.3986
201,2,5,8,12,2,2,1.2357
201,2,5,9,12,2,2,0.79135
201,2,5,10,16,2,2,1.0482
201,2,5,11,8,2,2,0.88848
201,2,5,12,12,2,2,0.95452
201,2,5,13,16,2,2,0.81527
201,2,5,14,12,2,2,1.2564
201,2,5,15,16,1,1,1.2869
201,2,5,16,8,2,2,1.0321
201,2,5,17,8,2,2,1.0178
201,2,5,18,8,1,1,0.9052
201,2,6,1,12,1,1,0.7386
