sub,sess,run,trial_num,cond,shape_stim,shape_resp,shape_RT,shape_acc,sound_stim,sound_resp,sound_RT,sound_acc
107,1,5,11,1,2,2,1.2173,1,NaN,0,NaN,0
107,1,5,12,2,NaN,0,NaN,0,1,1,2.0721,1
107,1,5,13,3,2,2,1.5986,1,1,1,1.6146,1
107,1,5,14,2,NaN,0,NaN,0,1,1,1.2525,1
107,1,5,15,1,1,1,0.7765,1,NaN,0,NaN,0
107,1,5,16,3,2,2,1.6865,1,2,2,1.6595,1
107,1,5,17,2,NaN,0,NaN,0,2,2,0.91667,1
107,1,5,18,1,2,2,0.9655,1,NaN,0,NaN,0
107,1,6,1,1,1,1,0.99336,1,NaN,0,NaN,0
107,1,6,2,2,NaN,0,NaN,0,1,1,1.1678,1
107,1,6,3,1,2,2,1.4057,1,NaN,0,NaN,0
107,1,6,4,1,1,1,1.1272,1,NaN,0,NaN,0
107,1,6,5,3,1,1,1.8671,1,1,1,1.9681,1
107,1,6,6,3,2,2,1.6038,1,2,2,1.5458,1
107,1,6,7,3,2,2,0.8991,1,2,2,0.9091,1
107,1,6,8,2,NaN,0,NaN,0,2,2,1.2702,1
107,1,6,9,1,1,1,1.6205,1,NaN,0,NaN,0
107,1,6,10,2,NaN,0,NaN,0,2,2,0.9784,1
107,1,6,11,2,NaN,0,NaN,0,1,1,1.3265,1
107,1,6,12,1,1,1,0.92732,1,NaN,0,NaN,0
107,1,6,13,2,NaN,0,NaN,0,1,1,1.0533,1
107,1,6,14,3,2,2,1.4505,1,2,2,1.4785,1
107,1,6,15,3,1,1,1.7213,1,1,1,1.8893,1
107,1,6,16,1,2,1,1.4769,0,NaN,0,NaN,0
107,1,6,17,3,2,2,2.3183,1,1,1,2.3063,1
107,1,6,18,2,NaN,0,NaN,0,2,2,1.0424,1
109,1,1,1,2,NaN,0,NaN,0,1,1,1.3929,1
109,1,1,2,2,NaN,0,NaN,0,1,1,0.89574,1
109,1,1,3,1,1,1,1.1458,1,NaN,0,NaN,0
