sub,condition,cvRatio,group,cort_to_Put,cort_to_CN
148,MT1,1.0603957105670512,practice,-0.892932852234884,-0.277181007589691
148,MT2,0.7890884985455596,practice,-0.892932852234884,-0.277181007589691
149,MT1,1.0325953569931667,practice,0.490658787495892,-1.09969796914542
149,MT2,0.781940927330634,practice,0.490658787495892,-1.09969796914542
201,MT1,0.7587857235906155,control,-0.833659703342193,-0.467455821967318
201,MT2,0.743738348103492,control,-0.833659703342193,-0.467455821967318
202,MT1,0.9724176699134262,control,0.841305886326153,1.52906926262327
202,MT2,0.638637336736038,control,0.841305886326153,1.52906926262327
203,MT1,1.1902661087319473,control,-1.049388354204,-0.882158938368257
203,MT2,1.117680558655269,control,-1.049388354204,-0.882158938368257
206,MT1,1.0393803318730135,control,0.63769245634547,-0.673866964907731
206,MT2,0.6798195573452985,control,0.63769245634547,-0.673866964907731
207,MT1,0.8557708251773544,control,-0.317075673418817,0.0937927268196247
207,MT2,0.6572624909323145,control,-0.317075673418817,0.0937927268196247
208,MT1,0.5728911521332161,control,-0.160708103392632,-1.33564439345539
208,MT2,0.4680651424400985,control,-0.160708103392632,-1.33564439345539
209,MT1,0.5403025171914906,control,-1.79182279846359,-0.39733911117251
209,MT2,0.5942690527153952,control,-1.79182279846359,-0.39733911117251
210,MT1,0.7986613260240247,control,0.761244749681191,-0.864999697401663
210,MT2,0.6253735445306958,control,0.761244749681191,-0.864999697401663
211,MT1,1.2083573111779633,control,1.0005282459999,-1.8931015810753
211,MT2,0.8198994243087043,control,1.0005282459999,-1.8931015810753
212,MT1,1.0475893130588427,control,1.37295266502083,-0.189223496863655
212,MT2,0.8559832988133208,control,1.37295266502083,-0.189223496863655
213,MT1,1.0402700163572427,control,-0.250284105591234,-0.279929854956577
213,MT2,1.0404706307841745,control,-0.250284105591234,-0.279929854956577
214,MT1,1.005448198439577,control,2.47431306865065,0.719978104840895
214,MT2,0.6704177487755457,control,2.47431306865065,0.719978104840895
215,MT1,1.5879261123920336,control,-2.3641642314307,-0.847318034251777
215,MT2,1.4519520398734436,control,-2.3641642314307,-0.847318034251777
216,MT1,0.6675621766467686,control,0.253833846097498,2.74681218028936
216,MT2,0.5475792985676493,control,0.253833846097498,2.74681218028936
217,MT1,0.6404461277939633,control,-0.211211606453566,0.248286621689603
217,MT2,0.5370709840970772,control,-0.211211606453566,0.248286621689603
218,MT1,1.1980522298546559,control,-0.535026325529466,-0.0403522004334011
218,MT2,1.1133873690767304,control,-0.535026325529466,-0.0403522004334011
220,MT1,1.0631978467135363,control,0.622543391871509,-0.925964340060446
220,MT2,0.8934242050087431,control,0.622543391871509,-0.925964340060446
222,MT1,1.0850900322883958,control,-0.648376560271858,0.567501566235118
222,MT2,0.9780234177850047,control,-0.648376560271858,0.567501566235118
223,MT1,0.9981556488940986,control,-1.49613844223326,2.11547325680926
223,MT2,0.9706841003642387,control,-1.49613844223326,2.11547325680926
224,MT1,1.1210644296835852,control,-0.144203997971171,1.69808988782187
224,MT2,0.979884179918798,control,-0.144203997971171,1.69808988782187
227,MT1,1.0653660581676272,control,0.566583293317954,0.530147159421352
227,MT2,0.7989230743201841,control,0.566583293317954,0.530147159421352
